#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTR2	RAC2	9606.ENSP00000367220	9606.ENSP00000249071	0	0	0	0	0.209	0.070	0	0.413	0.530
ACTR2	ATP6V1A	9606.ENSP00000367220	9606.ENSP00000273398	0	0	0	0	0.286	0.050	0	0.192	0.405
ACTR2	EZR	9606.ENSP00000367220	9606.ENSP00000338934	0	0	0	0	0.133	0.046	0	0.362	0.426
ACTR2	EFHD2	9606.ENSP00000367220	9606.ENSP00000365147	0	0	0	0	0.108	0.508	0	0	0.542
ACTR2	RHOA	9606.ENSP00000367220	9606.ENSP00000400175	0	0	0	0	0.281	0.070	0	0.515	0.647
ACTR2	CAPZB	9606.ENSP00000367220	9606.ENSP00000401010	0	0	0	0	0.201	0.302	0	0.453	0.669
ACTR2	DBN1	9606.ENSP00000367220	9606.ENSP00000377195	0	0	0	0	0.067	0.524	0	0.344	0.684
ACTR2	CDC42	9606.ENSP00000367220	9606.ENSP00000497733	0	0	0	0	0.555	0.154	0.500	0.765	0.950
ACTR2	ARPC1B	9606.ENSP00000367220	9606.ENSP00000389631	0	0	0	0	0.746	0.997	0.900	0.991	0.999
AKR1A1	CBR1	9606.ENSP00000361140	9606.ENSP00000290349	0	0	0	0	0.126	0.045	0.098	0.893	0.909
AKR1A1	CBR3	9606.ENSP00000361140	9606.ENSP00000290354	0	0	0	0	0.111	0.045	0.098	0.911	0.923
ALDOC	PYGB	9606.ENSP00000378731	9606.ENSP00000216962	0.042	0	0	0	0.202	0.053	0	0.325	0.446
APOL2	GBP1	9606.ENSP00000249066	9606.ENSP00000359504	0	0	0	0	0.248	0	0	0.248	0.410
ARHGAP18	CDC42	9606.ENSP00000357131	9606.ENSP00000497733	0	0	0	0	0.070	0.101	0	0.340	0.401
ARHGAP18	RHOA	9606.ENSP00000357131	9606.ENSP00000400175	0	0	0	0	0.070	0.101	0.400	0.460	0.693
ARPC1B	RAC2	9606.ENSP00000389631	9606.ENSP00000249071	0	0	0	0	0.300	0	0	0.321	0.505
ARPC1B	CAPZB	9606.ENSP00000389631	9606.ENSP00000401010	0	0	0	0	0.259	0.273	0	0.340	0.614
ARPC1B	CDC42	9606.ENSP00000389631	9606.ENSP00000497733	0	0	0	0	0.324	0	0.500	0.434	0.792
ATG5	PTK2	9606.ENSP00000358072	9606.ENSP00000341189	0	0	0	0	0.103	0	0	0.374	0.415
ATG5	STAT1	9606.ENSP00000358072	9606.ENSP00000354394	0	0	0	0	0.090	0.181	0	0.443	0.549
ATG5	COX4I1	9606.ENSP00000358072	9606.ENSP00000457513	0	0	0	0	0.091	0	0	0.393	0.425
ATG5	CASP1	9606.ENSP00000358072	9606.ENSP00000433138	0	0	0	0	0.058	0.105	0	0.787	0.805
ATP6V1A	PPA2	9606.ENSP00000273398	9606.ENSP00000343885	0	0	0	0	0.226	0	0.650	0.168	0.755
ATP6V1A	ATP6V1B2	9606.ENSP00000273398	9606.ENSP00000276390	0.111	0	0.246	0.585	0.878	0.994	0.956	0.859	0.999
ATP6V1B2	PPA2	9606.ENSP00000276390	9606.ENSP00000343885	0	0	0	0	0.257	0	0.650	0.157	0.761
ATP6V1B2	HMGCL	9606.ENSP00000276390	9606.ENSP00000363614	0	0.832	0	0	0.056	0	0	0.102	0.845
B2M	CD74	9606.ENSP00000497910	9606.ENSP00000009530	0	0	0	0	0.223	0	0.540	0.506	0.808
