#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCD1	ACOX3	9606.ENSP00000218104	9606.ENSP00000348775	0	0	0	0	0.105	0	0	0.434	0.472
ABCD1	ACAA1	9606.ENSP00000218104	9606.ENSP00000333664	0	0	0	0	0.111	0	0	0.445	0.486
ABCD1	ACOX1	9606.ENSP00000218104	9606.ENSP00000293217	0	0	0	0	0.111	0	0	0.541	0.575
ABCD1	ALDH3A2	9606.ENSP00000218104	9606.ENSP00000345774	0	0	0	0	0.092	0	0.500	0.189	0.600
ABCD1	SCP2	9606.ENSP00000218104	9606.ENSP00000360569	0	0	0	0	0.294	0.067	0	0.540	0.670
ABCD1	HSD17B4	9606.ENSP00000218104	9606.ENSP00000411960	0	0	0	0	0.298	0.073	0	0.567	0.694
ABCD1	ACSL1	9606.ENSP00000218104	9606.ENSP00000422607	0	0	0	0	0.100	0.100	0	0.662	0.703
ABCD1	AGPS	9606.ENSP00000218104	9606.ENSP00000264167	0	0	0	0	0	0.591	0	0.348	0.721
ABCD1	ACSL3	9606.ENSP00000218104	9606.ENSP00000350012	0	0	0	0	0.067	0.100	0	0.721	0.745
ABCD1	ABCD3	9606.ENSP00000218104	9606.ENSP00000359233	0	0	0.094	0.887	0.069	0.635	0.900	0.467	0.980
ABCD3	AGPS	9606.ENSP00000359233	9606.ENSP00000264167	0	0	0	0	0.063	0.258	0	0.454	0.587
ABCD3	ACOX1	9606.ENSP00000359233	9606.ENSP00000293217	0	0	0	0	0.149	0	0	0.800	0.823
ABCD3	HADHB	9606.ENSP00000359233	9606.ENSP00000325136	0	0	0	0	0.107	0	0	0.416	0.456
ABCD3	ACAA1	9606.ENSP00000359233	9606.ENSP00000333664	0	0	0	0	0.144	0	0	0.498	0.552
ABCD3	ALDH3A2	9606.ENSP00000359233	9606.ENSP00000345774	0	0	0	0	0.083	0	0.500	0.101	0.551
ABCD3	ACOX3	9606.ENSP00000359233	9606.ENSP00000348775	0	0	0	0	0.109	0	0	0.740	0.759
ABCD3	ACSL3	9606.ENSP00000359233	9606.ENSP00000350012	0	0	0	0	0.172	0.100	0	0.689	0.748
ABCD3	HSD17B4	9606.ENSP00000359233	9606.ENSP00000411960	0	0	0	0	0.238	0.067	0	0.556	0.657
ABCD3	ACSL1	9606.ENSP00000359233	9606.ENSP00000422607	0	0	0	0	0.067	0.100	0	0.651	0.682
ABCD3	SCP2	9606.ENSP00000359233	9606.ENSP00000360569	0	0	0	0	0.400	0.067	0	0.623	0.771
ABHD11	ACAD8	9606.ENSP00000222800	9606.ENSP00000281182	0	0	0	0	0.081	0.235	0.179	0.084	0.401
ABHD11	ATP5PO	9606.ENSP00000222800	9606.ENSP00000290299	0	0	0	0	0.049	0.319	0.146	0.073	0.418
ABHD11	ATP5F1B	9606.ENSP00000222800	9606.ENSP00000262030	0	0	0	0	0.062	0.319	0.118	0.090	0.419
ABHD11	DLAT	9606.ENSP00000222800	9606.ENSP00000280346	0	0	0	0	0.042	0.228	0.205	0.156	0.437
ABHD11	ATP5F1C	9606.ENSP00000222800	9606.ENSP00000349142	0	0	0	0	0.057	0.429	0.115	0.083	0.505
ABHD11	ATP5F1A	9606.ENSP00000222800	9606.ENSP00000381736	0	0	0	0	0.052	0.429	0.115	0.091	0.506
ACAA1	OXCT1	9606.ENSP00000333664	9606.ENSP00000196371	0.079	0.057	0	0	0.194	0	0.864	0.486	0.942
ACAA1	TECR	9606.ENSP00000333664	9606.ENSP00000215567	0	0	0	0	0.072	0	0	0.748	0.756
ACAA1	ACO2	9606.ENSP00000333664	9606.ENSP00000216254	0	0	0	0	0.148	0.091	0	0.325	0.432
ACAA1	MVK	9606.ENSP00000333664	9606.ENSP00000228510	0.093	0	0	0	0.107	0	0.449	0.396	0.695
ACAA1	ACSS2	9606.ENSP00000333664	9606.ENSP00000253382	0.055	0	0	0	0.290	0	0.836	0.339	0.918
ACAA1	FDX1	9606.ENSP00000333664	9606.ENSP00000260270	0.061	0	0	0	0.075	0	0	0.464	0.495
ACAA1	ALDH2	9606.ENSP00000333664	9606.ENSP00000261733	0	0	0	0	0.179	0	0.214	0.588	0.711
ACAA1	MECR	9606.ENSP00000333664	9606.ENSP00000263702	0.055	0	0	0	0.099	0	0	0.381	0.427
ACAA1	AGPS	9606.ENSP00000333664	9606.ENSP00000264167	0	0	0	0	0.043	0.211	0.500	0.537	0.802
ACAA1	SDHA	9606.ENSP00000333664	9606.ENSP00000264932	0	0	0	0	0.181	0	0.449	0.414	0.712
ACAA1	ACAT1	9606.ENSP00000333664	9606.ENSP00000265838	0	0	0.159	0.759	0.067	0.162	0.900	0.312	0.946
ACAA1	PFKL	9606.ENSP00000333664	9606.ENSP00000269848	0	0	0	0	0.082	0	0	0.382	0.409
ACAA1	DLAT	9606.ENSP00000333664	9606.ENSP00000280346	0.057	0	0	0	0.101	0	0.800	0.438	0.891
ACAA1	OXSM	9606.ENSP00000333664	9606.ENSP00000280701	0	0	0	0	0.062	0	0.136	0.385	0.458
ACAA1	ACAD8	9606.ENSP00000333664	9606.ENSP00000281182	0.054	0	0	0	0.352	0.051	0.216	0.202	0.570
ACAA1	ACOX1	9606.ENSP00000333664	9606.ENSP00000293217	0.054	0	0	0	0.641	0.180	0.932	0.945	0.998
ACAA1	BDH2	9606.ENSP00000333664	9606.ENSP00000296424	0.044	0	0	0	0.199	0.051	0.182	0.675	0.772
ACAA1	ALDH1A1	9606.ENSP00000333664	9606.ENSP00000297785	0	0	0	0	0.141	0	0.214	0.186	0.403
ACAA1	ECI1	9606.ENSP00000333664	9606.ENSP00000301729	0.054	0	0	0	0.356	0.296	0.411	0.414	0.825
ACAA1	ALDH5A1	9606.ENSP00000333664	9606.ENSP00000314649	0	0	0	0	0.112	0	0.214	0.359	0.513
ACAA1	CRAT	9606.ENSP00000333664	9606.ENSP00000315013	0	0	0	0	0.424	0.068	0	0.392	0.645
ACAA1	HADHB	9606.ENSP00000333664	9606.ENSP00000325136	0	0	0.136	0.790	0.126	0	0.900	0.441	0.952
ACAA1	DHRS4	9606.ENSP00000333664	9606.ENSP00000326219	0.044	0	0	0	0.212	0.051	0.182	0.274	0.498
ACAA1	DHRS1	9606.ENSP00000333664	9606.ENSP00000380027	0.044	0	0	0	0.211	0.051	0.182	0.165	0.422
ACAA1	PDHA1	9606.ENSP00000333664	9606.ENSP00000369134	0	0	0	0	0.080	0.074	0	0.386	0.432
ACAA1	ATP5F1A	9606.ENSP00000333664	9606.ENSP00000381736	0.055	0	0	0	0.107	0	0	0.386	0.437
ACAA1	PC	9606.ENSP00000333664	9606.ENSP00000498994	0	0	0	0	0.109	0	0	0.396	0.439
ACAA1	ETFB	9606.ENSP00000333664	9606.ENSP00000346173	0.102	0	0	0	0.315	0.090	0	0.240	0.517
ACAA1	MCCC2	9606.ENSP00000333664	9606.ENSP00000343657	0.079	0	0	0	0.250	0	0.177	0.266	0.527
ACAA1	ALDH3A2	9606.ENSP00000333664	9606.ENSP00000345774	0	0	0	0	0.123	0	0.214	0.456	0.593
ACAA1	ALDH9A1	9606.ENSP00000333664	9606.ENSP00000346827	0	0	0	0	0.164	0	0.214	0.452	0.608
ACAA1	DBI	9606.ENSP00000333664	9606.ENSP00000486361	0	0	0	0	0.393	0	0.185	0.306	0.627
ACAA1	ACSL3	9606.ENSP00000333664	9606.ENSP00000350012	0.057	0	0	0	0.123	0.066	0	0.586	0.638
